seller_id,seller_state,orders,late_orders,late_rate,avg_review,low_review_rate,median_ship_days,slow_handoff_rate,expected_late_orders_at_network_rate,excess_late_orders,seller
634964b17796e64304cadf1ad3050fb7,RJ,257,27,0.1051,4.1206,0.1323,3.3561,0.4397,20.5181,6.4819,Seller 634964
37515688008a7a40ac93e3b2e4ab203f,SP,219,23,0.105,4.1279,0.1005,5.1778,0.653,17.4843,5.5157,Seller 375156
391fc6631aebcf3004804e51b40bcf1e,SP,487,51,0.1047,4.1185,0.1289,2.8551,0.306,38.8806,12.1194,Seller 391FC6
4c2b230173bb36f9b240f2b8ac11786e,SP,249,26,0.1044,3.992,0.1767,5.26,0.759,19.8794,6.1206,Seller 4C2B23
1025f0e2d44d7041d6cf58b6550e0bfa,SP,872,91,0.1044,4.0483,0.1588,3.4535,0.4106,69.6179,21.3821,Seller 1025F0
c9c7905cffc4ef9ff9f113554423e671,SP,125,13,0.104,4.152,0.112,1.7802,0.096,9.9796,3.0204,Seller C9C790
a3e9a2c700480d9bb01fba070ba80a0e,SP,117,12,0.1026,4.069,0.1466,2.7052,0.2051,9.3409,2.6591,Seller A3E9A2
de23c3b98a88888289c6f5cc1209054a,SP,157,16,0.1019,4.3121,0.1019,2.0395,0.1975,12.5344,3.4656,Seller DE23C3
522620dcb18a6b31cd7bdf73665113a9,PR,167,17,0.1018,3.9162,0.1856,2.1208,0.1916,13.3328,3.6672,Seller 522620
8581055ce74af1daba164fdbd55a40de,SP,374,38,0.1016,4.3182,0.0936,2.8332,0.2941,29.859,8.141,Seller 858105
e9d99831abad74458942f21e16f33f92,SP,128,13,0.1016,3.9453,0.1562,2.3123,0.2812,10.2191,2.7809,Seller E9D998
7c67e1448b00f6e969d365cea6b010ab,SP,957,96,0.1003,3.5094,0.2516,11.3486,0.976,76.404,19.596,Seller 7C67E1
fa1c13f2614d7b5c4749cbc52fecda94,SP,562,56,0.0996,4.3879,0.0907,2.2683,0.21,44.8684,11.1316,Seller FA1C13
d1c281d3ae149232351cd8c8cc885f0d,SP,191,19,0.0995,3.9309,0.1862,1.7416,0.1204,15.2489,3.7511,Seller D1C281
7040e82f899a04d1b434b795a43b4617,SP,202,20,0.099,3.6485,0.2574,1.7885,0.1832,16.1271,3.8729,Seller 7040E8
620c87c171fb2a6dd6e8bb4dec959fc6,RJ,711,70,0.0985,4.3179,0.1097,1.716,0.1913,56.7641,13.2359,Seller 620C87
218d46b86c1881d022bce9c68a7d4b15,SP,371,36,0.097,4.2027,0.1162,1.4796,0.0916,29.6195,6.3805,Seller 218D46
213b25e6f54661939f11710a6fddb871,SP,134,13,0.097,4.0896,0.1269,8.892,0.8657,10.6982,2.3018,Seller 213B25
76d5af76d0271110f9af36c92573f765,SP,124,12,0.0968,4.1774,0.129,2.2537,0.2581,9.8998,2.1002,Seller 76D5AF
54a1852d1b8f10312c55e906355666ee,SP,197,19,0.0964,4.3553,0.0812,1.3497,0.0863,15.7279,3.2721,Seller 54A185
00ee68308b45bc5e2660cd833c3f81cc,SP,129,12,0.093,4.3333,0.1008,1.5065,0.1008,10.299,1.701,Seller 00EE68
f262cbc1c910c83959f849465454ddd3,SP,187,17,0.0909,4.1765,0.139,1.2353,0.0749,14.9295,2.0705,Seller F262CB
cbd996ad3c1b7dc71fd0e5f5df9087e2,SP,156,14,0.0897,4.2051,0.1154,1.4392,0.1026,12.4546,1.5454,Seller CBD996
6a8b085f816a1f75f92dbac6eb545f8f,SP,123,11,0.0894,4.1967,0.0984,1.9627,0.1626,9.82,1.18,Seller 6A8B08
b2ba3715d723d245138f291a6fe42594,SP,317,28,0.0883,4.2303,0.1104,5.1724,0.735,25.3083,2.6917,Seller B2BA37
fe2032dab1a61af8794248c8196565c9,SP,284,25,0.088,4.419,0.088,1.1791,0.1232,22.6737,2.3263,Seller FE2032
ef0ace09169ac090589d85746e3e036f,RJ,125,11,0.088,4.416,0.072,3.0603,0.32,9.9796,1.0204,Seller EF0ACE
17e34d8224d27a541263c4c64b11a56b,SP,244,21,0.0861,4.2623,0.1066,1.9302,0.2131,19.4802,1.5198,Seller 17E34D
c70c1b0d8ca86052f45a432a38b73958,SP,256,22,0.0859,4.3789,0.0859,2.9572,0.3711,20.4383,1.5617,Seller C70C1B
e5a38146df062edaf55c38afa99e42dc,SP,118,10,0.0847,4.0,0.161,2.468,0.2288,9.4208,0.5792,Seller E5A381
ef506c96320abeedfb894c34db06f478,SP,307,26,0.0847,3.9837,0.1564,2.8022,0.2834,24.51,1.49,Seller EF506C
7142540dd4c91e2237acb7e911c4eba2,SP,309,26,0.0841,4.0844,0.1299,2.2456,0.3398,24.6696,1.3304,Seller 714254
7ddcbb64b5bc1ef36ca8c151f6ec77df,SP,321,27,0.0841,4.0406,0.1469,2.0525,0.1807,25.6277,1.3723,Seller 7DDCBB
3c7c4a49ec3c6550809089c6a2ca9370,SP,135,11,0.0815,3.7111,0.2667,2.0984,0.163,10.778,0.222,Seller 3C7C4A
42b729f859728f5079499127a9c2ef37,SP,100,8,0.08,4.51,0.06,1.7326,0.22,7.9837,0.0163,Seller 42B729
92eb0f42c21942b6552362b9b114707d,SP,326,26,0.0798,4.0429,0.138,5.3898,0.6779,26.0269,-0.0269,Seller 92EB0F
edb1ef5e36e0c8cd84eb3c9b003e486d,RJ,163,13,0.0798,4.4479,0.0736,1.2377,0.0613,13.0134,-0.0134,Seller EDB1EF
4b9750c8ad28220fe6702d4ecb7c898f,SP,214,17,0.0794,4.3692,0.0701,1.7267,0.1168,17.0851,-0.0851,Seller 4B9750
f45122a9ab94eb4f3f8953578bc0c560,SP,179,14,0.0782,4.0112,0.162,1.2472,0.0503,14.2908,-0.2908,Seller F45122
ccc4bbb5f32a6ab2b7066a4130f114e3,PR,180,14,0.0778,4.3611,0.1,2.6536,0.3444,14.3707,-0.3707,Seller CCC4BB
70eea00b476a314817cefde4aad4f89a,SP,103,8,0.0777,4.4078,0.068,1.4464,0.165,8.2232,-0.2232,Seller 70EEA0
004c9cd9d87a3c30c522c48c4fc07416,SP,142,11,0.0775,4.1898,0.1168,1.3905,0.0704,11.3369,-0.3369,Seller 004C9C
955fee9216a65b617aa5c0531780ce60,SP,1244,96,0.0772,4.2098,0.0997,1.8344,0.1383,99.3172,-3.3172,Seller 955FEE
640e21a7d01df7614a3b4923e990d40c,SP,105,8,0.0762,4.4095,0.0476,0.9443,0.0762,8.3829,-0.3829,Seller 640E21
48436dade18ac8b2bce089ec2a041202,SP,132,10,0.0758,4.1439,0.1136,4.1688,0.5379,10.5385,-0.5385,Seller 48436D
da8622b14eb17ae2831f4ac5b9dab84a,SP,1267,95,0.075,4.2227,0.1062,2.1319,0.1942,101.1535,-6.1535,Seller DA8622
